object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201740319349300514,570314374,MUTUAL FUNDS,6019927,F
201740319349300514,570314374,Alternative Investments,107268,F
201700469349300720,150532239,mutual funds and limited partnerships,224373910,F
201710699349300426,231352641,HEDGE FUNDS,41257374,F
201710699349300426,231352641,REAL ASSETS,18073612,F
201710699349300426,231352641,PRIVATE EQUITY,10793360,F
201700469349302080,910473310,Equity Index Fund,9796201,F
201700469349302080,910473310,Commodities,1750075,F
201700469349302080,910473310,Real Estate Investment,10010177,F
201700469349302080,910473310,Notes Rec. Coll/real estate,82000,F
201700469349302080,910473310,Single premium life ins. policy,150669,F
201700469349302080,910473310,Limited partnerships,5491970,F
201700469349302080,910473310,Private equity funds,8147263,F
201700469349302080,910473310,Hedge funds,8807462,F
201700469349302080,910473310,Other Investments,1807063,F
201710449349300321,310971599,EDWARD JONES,3561839,F
201710449349300321,310971599,QUASI ENDOWMENT,784729,F
201710449349300321,310971599,COMMUNITY FOUNDATION,39940,F
201710449349300321,310971599,INLAND WESTERN R.E. TRUST,15267,F
201710449349300321,310971599,LIFE INSURANCE POLICY,40580,C
201740469349301394,131632522,INVESTMENT IN PODIA INSURANCE LIMITED,3312918,F
201700419349301605,410693960,Hedge funds,11279225,F
201740139349301269,470376524,HEDGE FUND,4918421,F
201740139349301269,470376524,CHARITABLE LIFE INSURANCE POLICIES,1282700,F
201730319349300408,231352664,Anchorage Capital Partners,3188670,F
201730319349300408,231352664,Anchorage Short Term Credit,1345666,F
201730319349300408,231352664,Arrowgrass International,3567492,F
201730319349300408,231352664,Aurelius Capital International,3547291,F
201730319349300408,231352664,Black Rock Diamond Property Fund,160592,F
201730319349300408,231352664,Brevan Howard Credit Analysts,3268109,F
201730319349300408,231352664,Canyon Value Realization Fund,3409947,F
201730319349300408,231352664,Commonfund Capital International Partners VII,1232977,F
201730319349300408,231352664,"Crown Global Secondaries II, PLC",567783,F
201730319349300408,231352664,Davidson Kempner,3350930,F
201730319349300408,231352664,Elliott International Limited,2728230,F
201730319349300408,231352664,Eminence Fund,2345396,F
201730319349300408,231352664,Fir Tree International Value,2334588,F
201730319349300408,231352664,Fir Tree Real Estate Opportunity Fund,23069,F
201730319349300408,231352664,Goldman Sachs Distressed Opportunities Fund,800555,F
201730319349300408,231352664,King Street Capital,3714437,F
201730319349300408,231352664,Mercer Private Investment Partners,2202937,F
201730319349300408,231352664,Mercer Private Investment Partners II,3148439,F
201730319349300408,231352664,Mercer Private Real Assets Fund,538141,F
201730319349300408,231352664,Metropolitan Real Estate Fund,1932912,F
201730319349300408,231352664,Montauk TriGuard V,825288,F
201730319349300408,231352664,Neuberger Berman Secondary Opp II,1734761,F
201730319349300408,231352664,Neuberger Berman Secondary Opp Fund III,1045925,F
201730319349300408,231352664,Newbury Partners,1520583,F
201730319349300408,231352664,Newlin Energy Partners,1309109,F
201730319349300408,231352664,Och-Ziff Asia Overseas,3205916,F
