object_id,ein,OfAssstncTxt,RgnTxt,RcpntCnt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
202021969349302802,050259080,SCHOLARSHIPS TO STUDENTS STUDYING ABROAD,EUROPE (INCLUDING ICELAND & GREENLAND),64,623682,DIRECT REDUCTION OF TUITION,FMV
202021969349302802,050259080,SCHOLARSHIPS TO STUDENTS STUDYING ABROAD,SOUTH AMERICA,1,11200,DIRECCT REDUCTION OF TUITION,FMV
202021969349302802,050259080,SCHOLARSHIPS TO STUDENTS STUDYING ABROAD,CENTRAL AMERICA AND THE CARIBBEAN,1,8250,DIRECCT REDUCTION OF TUITION,FMV
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,CENTRAL AMERICA AND THE CARIBBEAN,3,54501
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,EAST ASIA AND THE PACIFIC,84,1527546
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,EUROPE (INCLUDING ICELAND & GREENLAND),17,420998
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,MIDDLE EAST AND NORTH AFRICA,2,53384
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,NORTH AMERICA,4,103266
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,RUSSIA AND NEIGHBORING STATES,9,261183
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,SOUTH AMERICA,4,123707
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,SOUTH ASIA,27,754217
202131349349302538,520591421,SCHOLARSHIPS & ASSISTANCE,SUB-SAHARAN AFRICA,18,633455
202141379349301299,041679980,STUDENT FINANCIAL AID,North America,1,1000,TUITION OFFSET,COST
202141379349301299,041679980,STUDENT FINANCIAL AID,East Asia and the Pacific,4,31975,TUITION OFFSET,COST
202141379349301299,041679980,STUDENT FINANCIAL AID,Russia and the Newly Independent States,1,2000,TUITION OFFSET,COST
202141379349301299,041679980,STUDENT FINANCIAL AID,South Asia,2,22256,TUITION OFFSET,COST
202141379349301299,041679980,STUDENT FINANCIAL AID,Sub-Saharan Africa,2,8400,TUITION OFFSET,COST
202031359349300008,314379532,Scholarship,Sub-Saharan Africa,2,1000,Account Credit
202031359349300008,314379532,Scholarship,Europe (Including Iceland and Greenland),6,22574,Account Credit
202031359349300008,314379532,Scholarship,Central America and the Caribbean,3,2667,Account Credit
202031359349300008,314379532,Scholarship,South America,1,2000,Account Credit
202031359349300008,314379532,Scholarship,North America (Canada & Mexico only),1,1000,Account Credit
202041579349300314,314379459,EDUCATIONAL SCHOLARSHIPS,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",10,83273,CHECK,0
