object_id,ein,DscrtnrySpndngAcctInd,HsngAllwncOrRsdncInd,PymntsFrUsOfRsdncInd,FrstClssOrChrtrTrvlInd,PrsnlSrvcsInd,IdmnfctnGrssUpPmtsInd,TrvlFrCmpnnsInd,ClbDsOrFsInd,WrttnPlcyRfTAndEExpnssInd,SbstnttnRqrdInd,CmpnstnSrvyInd,CmpnstnCmmttInd,BrdOrCmmttApprvlInd,IndpndntCnsltntInd,Frm990OfOthrOrgnztnsInd,WrttnEmplymntCntrctInd,SvrncPymntInd,SpplmntlNnqlRtrPlnInd,EqtyBsdCmpArrngmInd,CmpBsdOnRvnOfFlngOrgInd,CmpBsdOnRvRltdOrgsInd,CmpBsdNtErnsFlngOrgInd,CmpBsdNtErnsRltdOrgsInd,AnyNnFxdPymntsInd,IntlCntrctExcptnInd,RbttblPrsmptnPrcInd
201513209349307126,410956618,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,X,1,1,0,0,0,1,1,0,0,-
201503209349304020,590972013,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,false,false,false,false,false,false,false,false,false,-
201503209349304045,221494442,-,-,-,-,-,-,-,X,true,true,X,X,X,X,X,-,true,true,false,false,false,false,false,true,false,-
201503429349300415,381360586,X,-,-,-,-,-,-,X,1,1,X,X,X,-,-,X,0,0,0,0,0,0,0,0,0,-
201513459349300336,060646520,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,X,0,0,0,0,0,0,0,0,0,-
201503179349303070,141338413,-,-,-,-,-,-,-,-,-,-,X,X,X,X,X,X,true,false,false,false,false,false,false,true,false,-
201503209349306050,150532254,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,X,0,1,0,0,0,0,0,0,0,-
201513209349302031,560554230,X,X,-,X,-,X,X,X,1,1,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0,-
201503179349302525,250969492,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,-,true,true,false,false,false,false,false,false,false,-
201513179349303681,150533577,-,-,-,-,-,-,-,-,-,-,X,X,X,X,-,X,0,1,0,0,0,0,0,0,0,-
201513179349300141,231352001,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,0,0,0,0,0,0,0,0,0,-
201503209349312020,160960470,-,-,-,-,-,-,-,X,1,1,X,-,X,-,-,X,0,0,0,0,0,0,0,1,0,-
