object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201530309349301008,231382408,CHRIST CHAPEL,13909 SMOKETOWN ROAD,WOODBRIDGE,VA,22192,EDUCATIONAL SER,389954
201530309349301008,231382408,JENZABAR,PO BOX 55018,BOSTON,MA,02205,IT SERVICES,142589
201530309349301008,231382408,SECURITAS SECURITY,PO BOX 403412,ATLANTA,GA,303843412,SECURITY,139482
201530309349301108,420680351,PETERS CONSTRUCTION CORPORATION,901 BLACK HAWK ROAD,WATERLOO,IA,50704,CONSTRUCTION CONTRACTOR,664706
201530309349301108,420680351,MIDWEST FIELD TURF COMPANY,22 S MAIN SUITE B,DENISON,IA,51442,ATHLETIC FIELD CONTRACTOR,536476
201530309349301108,420680351,RUFFALOCODY,PO BOX 718,DES MOINES,IA,503030718,INST. ADVANCEMENT/ ADMISSIONS CONSULTANT,335129
201530309349301108,420680351,BEYNON SPORTS SURFACES INC,16 ALT ROAD,HUNT VALLEY,MD,21030,ATHLETIC SURFACE CONTRACTOR,315000
201530309349301108,420680351,DON GARDNER CONSTRUCTION COMPANY,315 LA PORTE ROAD,WATERLOO,IA,50702,CONSTRUCTION CONTRACTOR,295179
201530309349301658,381369604,Corax Business Solutions Inc,2774 Waterloo,Troy,MI,48084,Professional Development,480911
201530309349301658,381369604,MORPHOSIS ARCHITECTS,3440 Wesley St,Culver City,CA,90230,Architectural Services,145582
201530309349301658,381369604,HOBSONS INC,PO Box 505208,St Louis,MO,63150,Recruiting Services,132300
201530309349301658,381369604,Aramark,527 Plymouth,Plymouth Meeting,PA,19462,Maintenance Services,2713806
201530309349301658,381369604,Albert Kahn Associates,7430 Second Ave,Detroit,MI,48202,Architectural Services,1009885
201520419349301407,150533545,SODEXO OPERATIONS LLC,PO BOX 360170,PITTSBURGH,PA,152516170,FOOD/FACILITIES,3705678
201520419349301407,150533545,EXCELLUS BLUE CROSS BLUE SHIELD,PO BOX 5254,BINGHAMTON,NY,139025254,MEDICAL INSURAN,1053094
201520419349301407,150533545,HOMEENERGY SERVICES,33 DEPOT ST,SARANAC,NY,12983,HEATING,871328
201520419349301407,150533545,LUCK BUILDERS,73 TRADE ROAD,PLATTSBURGH,NY,12901,CONSTRUCTION,518545
201520419349301407,150533545,NATIONAL GRID,300 ERIE BLVD,WEST SYRACUSE,NY,13252,UTILITIES,391320
201500409349300625,860294012,DH Technologies LLC,305 Harrison Ste STE LL1B,Leesburg,VA,20175,Computer Services,203177
201500409349300625,860294012,OMK Properties LLC,7228 N Dreamy Draw Drive,Phoenix,AZ,85020,Rent,131248
201500409349300625,860294012,Stanley Lumber Company,650 Morrell Blvd,Prescott,AZ,86301,Rent,104113
201520419349301982,540505922,Royall & Company,1920 East Parham Road,Richmond,VA,232282206,Consulting,282860
201520419349301982,540505922,R M Gantt,P O Box 3527,Lynchburg,VA,24503,Construction,302473
201520419349301982,540505922,Dominion Seven Architects,1000 Jefferson Street Suite 2A,Lynchburg,VA,24504,Architectual Services,401880
201520419349301982,540505922,Pearson Construction Inc,485 Pearson Drive,Dillwyn,VA,23936,Construction,754308
201520419349301982,540505922,Jamerson-Lewis Construction,P O Box 10728,Lynchburg,VA,24506,Construction,3304198
201530409349300408,420772559,Hoogendoorn Construction,47895 US Hwy 18,Canton,SD,57013,Construction,5215209
201530409349300408,420772559,Creative Dining Services,1 Royal Park Dr Ste 3,Zeeland,MI,49464,Dining Hall,2280899
201530409349300408,420772559,Tessiers,218 E 1st Ave,Mitchell,SD,57301,Construction,1751723
201530409349300408,420772559,Ten Kredit Electric,301 7th St NW,Sioux Center,IA,51250,Construction,1272512
201530409349300408,420772559,Architectural Wall Systems,6601 Westown Pkwy Ste 100,West Des Moines,IA,50266,Construction,785964
201520419349300217,340714629,Ogletree Deakins Nash Smoak St,PO Box 167,GREENVILLE,SC,29602,Legal,168620
201520419349300217,340714629,KPMG,3 Chestnut Ridge Road,MONTVALE,NJ,07645,Audit,143000
201500439349302555,364479457,PRICEWATERHOUSECOOPERS LLP,PO BOX 75647,CHICAGO,IL,606755647,AUDIT,132330
201540429349301289,231352652,SODEXO INC,CAMPUS BOX 936 JUNIATA COLLEGE,HUNTINGDON,PA,16652,FOOD SERVICE,6552221
